username,comments,timestamp,postUrl,pubDate,description
pg97z,Immune for next 8-10 years xD,2021-02-08T06:31:21.000Z,https://www.instagram.com/p/CLBThJssLpt/,2021-02-08 06:00:36+00:00,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre"
junc._,Some say that he had ascended into the embodiment of the covid-19 and now watches over the planet together with Jesus,2021-02-08T06:23:44.000Z,https://www.instagram.com/p/CLBThJssLpt/,2021-02-08 06:00:36+00:00,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre"
aron.hellas,Level up 5x,2021-02-08T06:41:37.000Z,https://www.instagram.com/p/CLBThJssLpt/,2021-02-08 06:00:36+00:00,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre"
depressed.diebetes,can sneeze on other ppl to vaccinate them ady,2021-02-08T07:40:18.000Z,https://www.instagram.com/p/CLBThJssLpt/,2021-02-08 06:00:36+00:00,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre"
flying_azim_,Covid can't mess with this fellow,2021-02-08T06:21:54.000Z,https://www.instagram.com/p/CLBThJssLpt/,2021-02-08 06:00:36+00:00,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre"
23suzana,Oh dear I hope he will be alright.  5 doses is not a joke.  I really hope he will be ok.  He must be having hugh side effects! 🙏,2021-02-08T08:40:07.000Z,https://www.instagram.com/p/CLBThJssLpt/,2021-02-08 06:00:36+00:00,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre"
the_sloth_g,The staff have anti-bodies.,2021-02-08T06:35:31.000Z,https://www.instagram.com/p/CLBThJssLpt/,2021-02-08 06:00:36+00:00,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre"
sg_trains_videography,The thing is... Why the person go take 5 shots when he know only need 2?,2021-02-08T07:20:52.000Z,https://www.instagram.com/p/CLBThJssLpt/,2021-02-08 06:00:36+00:00,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre"
s7harin_a26rrow,Sue la million dollars..,2021-02-08T07:49:43.000Z,https://www.instagram.com/p/CLBThJssLpt/,2021-02-08 06:00:36+00:00,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre"
theragemonsta,undercover hitman,2021-02-08T07:40:21.000Z,https://www.instagram.com/p/CLBThJssLpt/,2021-02-08 06:00:36+00:00,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre"
